notificationByte;notificationType;notificationVersion;eventByte;event;eventVersion;eventParameters
0x01;Smoke Alarm;V2;0x00;Event inactive (push mode) / Previous Events cleared (pull mode) ;V4;Event identifier for the event which is no more active. If no Event Parameter is provided, there are no active events for the specified Notification Type. 
0x01;Smoke Alarm;V2;0x01;Smoke detected;V2;Node Location Report (Node Naming and Location Command Class)
0x01;Smoke Alarm;V2;0x02;Smoke detected, unknown location;V2;
0x01;Smoke Alarm;V2;0x03;Smoke Alarm Test;V3;
0x01;Smoke Alarm;V2;0x04;Replacement Required, Unspecified reason;V5;
0x01;Smoke Alarm;V2;0x05;Replacement Required, End-of-life;V8;
0x01;Smoke Alarm;V2;0x06;Alarm Silenced;V8;
0x01;Smoke Alarm;V2;0x07;Maintenance required, Planned periodic inspection;V8;
0x01;Smoke Alarm;V2;0x08;Maintenance required, Dust in device;V8;
0x01;Smoke Alarm;V2;0xFE;Unknown Event;V2;
0x02;CO Alarm;V2;0x00;Event inactive (push mode) / Previous Events cleared (pull mode) ;V4;
0x02;CO Alarm;V2;0x01;Carbon monoxide detected;V2;Node Location Report (Node Naming and Location Command Class) 
0x02;CO Alarm;V2;0x02;Carbon monoxide detected, Unkown Location;V2;
0x02;CO Alarm;V2;0x03;Carbon monoxide test;V5;0x01 = Test OK, 0x02 = Test Failed
0x02;CO Alarm;V2;0x04;Replacement Required, Unspecified reason;V5;
0x02;CO Alarm;V2;0x05;Replacement Required, End-of-life;V8;
0x02;CO Alarm;V2;0x06;Alarm Silenced;V8;
0x02;CO Alarm;V2;0x07;Maintenance required, Planned periodic inspection;V8;
0x02;CO Alarm;V2;0xFE;Unknown Event;V2;
0x03;CO2 Alarm;V2;0x00;Event inactive (push mode) / Previous Events cleared (pull mode) ;V4;Event identifier for the event which is no more active. If no Event Parameter is provided, there are no active events for the specified Notification Type. 
0x03;CO2 Alarm;V2;0x01;Carbon dioxide detected;V2;Node Location Report (Node Naming and Location Command Class) 
0x03;CO2 Alarm;V2;0x02;Carbon dioxide detected, Unkown location;V2;
0x03;CO2 Alarm;V2;0x03;Carbon dioxide test;V5;0x01 = Test OK, 0x02 = Test Failed
0x03;CO2 Alarm;V2;0x04;Replacement Required, Unspecified reason;V5;
0x03;CO2 Alarm;V2;0x05;Replacement Required, End-of-life;V8;
0x03;CO2 Alarm;V2;0x06;Alarm Silenced;V8;
0x03;CO2 Alarm;V2;0x07;Maintenance required, Planned periodic inspection;V8;
0x03;CO2 Alarm;V2;0xFE;Unknown Event;V2;
0x04;Heat Alarm;V2;0x00;Event inactive (push mode) / Previous Events cleared (pull mode) ;V4;Event identifier for the event which is no more active. If no Event Parameter is provided, there are no active events for the specified Notification Type. 
0x04;Heat Alarm;V2;0x01;Overheat detected;V2;Node Location Report (Node Naming and Location Command Class)
0x04;Heat Alarm;V2;0x02;Overheat detected, Unknown location;V2;
0x04;Heat Alarm;V2;0x03;Rapid Temperature Rise;V2;Node Location Report (Node Naming and Location Command Class)
0x04;Heat Alarm;V2;0x04;Rapid Temperature Rise, Unknown location;V2;
0x04;Heat Alarm;V2;0x05;Under heat detected;V2;Node Location Report (Node Naming and Location Command Class)
0x04;Heat Alarm;V2;0x06;Under heat detected, Unkown location;V2;
0x04;Heat Alarm;V2;0x07;Heat Alarm Test;V8;
0x04;Heat Alarm;V2;0x08;Replacement Required, End-of-life;V8;
0x04;Heat Alarm;V2;0x09;Alarm Silenced;V8;
0x04;Heat Alarm;V2;0x0A;Maintenance required, Dust in device;V8;
0x04;Heat Alarm;V2;0x0B;Maintenance required, Planned periodic inspection;V8;
0x04;Heat Alarm;V2;0xFE;Unknown Event;V2;
0x05;Water Alarm;V2;0x00;Event inactive (push mode) / Previous Events cleared (pull mode) ;V4;Event identifier for the event which is no more active. If no Event Parameter is provided, there are no active events for the specified Notification Type. 
0x05;Water Alarm;V2;0x01;Water Leak detected;V2;Node Location Report (Node Naming and Location Command Class)
0x05;Water Alarm;V2;0x02;Water Leak detected, Unknown location;V2;
0x05;Water Alarm;V2;0x03;Water Level Dropped;V2;Node Location Report (Node Naming and Location Command Class)
